Event,Method,N_Firms,Mean_Price_Change,SD_Price_Change,N_Valid
1,Bayesian_Bertrand,39,-0.1278523700755158,0.014502496766092844,200
1,Bayesian_Auction,39,-0.06643233241068193,0.008540183311540757,200
1,Bayesian_Cournot,39,-1.183179936235795,0.19553535862765642,200
1,Bayesian_MonCom,39,0,0,200
1,Calibration_Bertrand,39,-0.26801105461601227,NA,1
1,Calibration_Cournot,39,-0.35617594230223343,NA,1
1,Calibration_Auction,39,-0.04085248392738693,NA,1
1,Calibration_MonCom,39,0,NA,1
2,Calibration_Bertrand,6,-0.16205232538197184,NA,1
2,Calibration_Cournot,6,-0.15901637030862273,NA,1
2,Calibration_Auction,6,-0.08299030450531791,NA,1
2,Calibration_MonCom,6,0,NA,1
5,Calibration_Bertrand,8,-0.10864104650117638,NA,1
5,Calibration_Cournot,8,-0.08467650423536792,NA,1
5,Calibration_Auction,8,-0.01757229756288852,NA,1
5,Calibration_MonCom,8,0,NA,1
6,Calibration_Bertrand,7,-0.05601747500671457,NA,1
6,Calibration_Cournot,7,-0.06705716074624449,NA,1
6,Calibration_Auction,7,-0.013052176931248383,NA,1
6,Calibration_MonCom,7,0,NA,1
