Model,Divergences,LogML,LOOIC,Alpha,S0,RMSE_Share,RMSE_Margin,diff_logml,bayes_factor_vs_best,posterior_prob
Cournot,9,103.48570245433413,NA,0.5156877333382912,0.011224238488006183,0.22405489896922023,0.6463298296758264,0,1,0.9836949458679216
Bertrand,29,98.83162066071893,NA,0.4330135221952083,0.011161237106946602,0.23921034804456923,0.6641131717038498,-4.654081793615205,0.009522652989678823,0.009367385617201112
Auction,12,98.17004018407994,NA,0.43455995988265184,0.011194430445034077,0.2372165293047308,0.6697627979785831,-5.315662270254194,0.004914023266021767,0.00483389985066299
MonCom,11,97.33811695807015,NA,0.4378877137853061,0.01119498204499815,0.2298187870875257,0.6777010426752003,-6.147585496263986,0.0021386392936665953,0.0021037686642143717
